participantId,IC_openai_initial,IC_openai
SAL_0312,2.9,5.0
SAL_0313,2.0,3.0
SAL_0314,3.0,4.3
SAL_0315,2.0,3.0
SAL_0316,5.0,6.0
SAL_0317,2.0,3.0
SAL_0318,2.0,3.4
SAL_0319,2.0,3.0
SAL_0320,2.0,3.0
SAL_0321,4.0,6.0
SAL_0322,3.0,3.0
SAL_0323,2.0,5.0
SAL_0324,2.0,2.0
SAL_0325,5.0,5.0
SAL_0326,2.0,5.0
SAL_0327,2.0,3.0
SAL_0328,3.0,3.0
SAL_0329,2.0,2.0
SAL_0330,3.0,4.9
SAL_0331,3.0,3.9
SAL_0332,3.7,3.6
SAL_0333,2.0,2.0
SAL_0334,2.0,3.9
SAL_0335,2.0,3.0
SAL_0336,2.0,3.3
SAL_0337,3.0,4.5
SAL_0338,2.0,2.0
SAL_0339,3.0,2.1
SAL_0340,2.0,4.0
SAL_0341,2.0,3.0
SAL_0342,3.0,6.0
SAL_0343,3.0,5.0
SAL_0344,2.0,2.2
SAL_0345,3.0,3.0
SAL_0346,2.0,3.0
SAL_0347,2.0,4.0
SAL_0348,2.0,3.0
SAL_0349,2.0,5.0
SAL_0350,5.0,5.3
SAL_0351,2.0,3.0
SAL_0352,3.0,5.0
SAL_0353,2.0,3.0
SAL_0354,2.0,2.0
SAL_0355,2.0,2.6
SAL_0356,2.0,2.3
SAL_0357,4.0,5.0
SAL_0358,2.0,5.0
SAL_0359,3.0,3.0
SAL_0360,3.0,3.0
SAL_0361,3.0,5.0
SAL_0362,2.0,3.0
SAL_0363,3.0,4.0
SAL_0364,2.0,2.1
SAL_0365,2.0,2.0
SAL_0366,4.9,5.0
SAL_0367,1.0,1.0
SAL_0368,3.0,5.0
SAL_0369,2.0,5.0
SAL_0370,3.0,3.9
SAL_0371,3.0,3.0
SAL_0372,2.0,2.0
SAL_0373,5.0,5.0
SAL_0374,2.0,3.6
SAL_0375,2.5,2.9
SAL_0376,2.8,3.0
SAL_0377,2.0,2.0
SAL_0378,1.0,1.0
SAL_0379,5.0,6.0
SAL_0380,3.0,4.3
SAL_0381,2.0,2.0
SAL_0382,1.9,2.0
SAL_0383,3.0,5.0
SAL_0384,2.5,4.0
SAL_0385,2.0,4.0
SAL_0386,2.0,2.0
SAL_0387,1.5,3.0
SAL_0388,3.0,3.0
SAL_0389,3.0,3.6
SAL_0390,3.0,4.0
SAL_0391,5.0,5.0
SAL_0392,2.0,4.0
SAL_0393,2.0,2.8
SAL_0394,2.6,3.0
SAL_0395,3.0,4.9
SAL_0396,3.0,3.0
SAL_0397,2.0,3.0
SAL_0398,2.2,3.0
SAL_0399,2.0,4.4
SAL_0400,3.5,5.0
SAL_0401,2.0,2.8
SAL_0402,3.0,5.0
SAL_0403,2.0,2.0
SAL_0404,4.0,5.0
SAL_0405,2.0,2.0
SAL_0406,2.0,5.0
SAL_0407,3.0,4.1
SAL_0408,2.6,6.0
SAL_0409,2.0,3.0
SAL_0410,2.0,2.1
SAL_0411,2.0,3.0
SAL_0412,2.0,2.0
SAL_0413,3.0,5.3
SAL_0414,2.0,2.0
SAL_0415,3.0,5.0
SAL_0416,3.3,5.0
SAL_0417,3.0,4.1
SAL_0418,2.0,2.0
SAL_0419,4.5,5.0
SAL_0420,4.0,5.1
SAL_0421,2.0,2.0
SAL_0422,3.0,2.0
SAL_0423,5.0,5.0
SAL_0424,2.0,3.0
SAL_0425,2.7,6.0
SAL_0426,3.0,6.0
SAL_0427,2.0,2.0
SAL_0428,3.0,5.0
SAL_0429,2.0,3.0
SAL_0430,2.0,3.3
SAL_0431,3.0,3.2
SAL_0432,3.0,5.0
SAL_0433,2.0,2.6
SAL_0434,2.0,2.0
SAL_0435,5.0,6.0
SAL_0436,5.0,6.0
SAL_0437,5.0,6.0
SAL_0438,3.0,4.9
SAL_0439,2.0,4.0
SAL_0440,3.5,5.0
SAL_0441,2.0,3.0
SAL_0442,2.0,2.0
SAL_0443,3.0,4.7
SAL_0444,3.3,4.5
SAL_0445,2.0,3.0
SAL_0446,3.0,5.5
SAL_0447,5.0,5.0
SAL_0448,3.0,3.0
SAL_0449,2.0,3.0
SAL_0450,3.0,3.8
SAL_0451,4.1,5.5
SAL_0452,2.0,2.0
SAL_0453,2.0,3.9
SAL_0454,2.0,3.0
SAL_0455,2.8,4.0
SAL_0456,3.0,3.8
SAL_0457,2.0,2.0
SAL_0458,3.0,3.3
SAL_0459,4.0,3.5
SAL_0460,4.0,5.0
SAL_0461,2.0,5.0
SAL_0462,4.0,5.0
SAL_0463,2.0,4.0
SAL_0464,2.0,3.0
SAL_0465,2.0,4.0
SAL_0466,2.0,5.0
SAL_0467,1.0,2.0
SAL_0468,2.0,2.0
SAL_0469,2.0,2.2
SAL_0470,2.0,3.0
SAL_0471,2.0,2.0
SAL_0472,3.0,2.8
SAL_0473,5.0,5.0
SAL_0474,2.2,3.0
SAL_0475,3.0,2.8
SAL_0476,3.0,5.0
SAL_0477,2.0,2.0
SAL_0478,4.0,6.0
SAL_0479,2.0,2.0
SAL_0480,2.0,3.2
SAL_0481,5.0,5.0
SAL_0482,2.0,3.0
SAL_0483,3.0,5.1
SAL_0484,2.0,4.5
SAL_0485,2.0,2.0
SAL_0486,2.0,3.0
SAL_0487,3.0,4.0
SAL_0488,3.0,4.8
SAL_0489,3.0,5.0
SAL_0490,2.9,5.0
SAL_0491,3.0,5.4
SAL_0492,3.0,3.8
SAL_0493,3.0,4.1
SAL_0494,2.0,2.0
SAL_0495,2.0,3.0
SAL_0496,2.0,2.5
SAL_0497,2.0,2.0
SAL_0498,2.0,2.0
SAL_0499,3.0,3.0
SAL_0500,2.0,5.0
SAL_0501,5.0,6.0
SAL_0502,3.0,3.0
SAL_0503,2.0,3.0
SAL_0504,2.5,3.3
SAL_0505,4.0,4.4
SAL_0506,2.4,5.7
SAL_0507,5.0,5.0
SAL_0508,3.6,5.0
SAL_0509,3.0,4.0
SAL_0510,3.0,4.0
SAL_0511,3.2,5.0
SAL_0512,3.0,4.0
SAL_0513,2.0,4.0
SAL_0514,6.0,7.0
SAL_0515,3.0,5.0
SAL_0516,1.5,4.0
SAL_0517,2.0,3.0
SAL_0518,3.0,3.3
SAL_0519,2.0,3.0
SAL_0520,3.0,3.5
SAL_0521,4.0,5.0
SAL_0522,2.0,6.0
SAL_0523,2.0,2.0
SAL_0524,3.6,5.0
SAL_0525,2.0,2.0
SAL_0526,4.0,4.9
SAL_0527,2.0,4.0
SAL_0528,4.0,5.4
SAL_0529,2.0,3.6
SAL_0530,2.0,4.0
SAL_0531,3.0,5.0
SAL_0532,3.9,5.0
SAL_0533,2.0,2.0
SAL_0534,3.0,3.0
SAL_0535,2.0,2.7
SAL_0536,3.7,5.0
SAL_0537,2.9,4.0
SAL_0538,1.0,1.0
SAL_0539,5.0,5.0
SAL_0540,3.0,4.0
SAL_0541,3.0,5.3
SAL_0542,2.0,3.3
SAL_0543,2.0,2.0
SAL_0544,3.0,5.0
SAL_0545,3.0,4.6
SAL_0546,2.0,3.0
SAL_0547,2.0,2.0
SAL_0548,2.0,2.0
SAL_0549,2.4,3.5
SAL_0550,2.0,2.8
SAL_0551,2.0,2.0
SAL_0552,4.0,5.0
SAL_0553,2.0,2.0
SAL_0554,3.0,5.0
SAL_0555,3.5,5.0
SAL_0556,2.0,3.0
SAL_0557,2.0,3.1
SAL_0558,2.0,2.6
SAL_0559,2.0,3.0
SAL_0560,2.0,2.0
SAL_0561,2.6,4.0
SAL_0562,2.0,3.4
SAL_0563,2.0,2.0
SAL_0564,2.7,5.0
SAL_0565,2.0,4.0
SAL_0566,2.0,2.0
SAL_0567,3.0,6.0
SAL_0568,2.5,4.5
SAL_0569,2.0,3.0
SAL_0570,3.0,3.0
SAL_0571,2.0,2.0
SAL_0572,2.0,2.0
SAL_0573,5.0,6.0
SAL_0574,3.0,4.6
SAL_0575,1.3,2.0
SAL_0576,3.0,5.0
SAL_0577,3.0,5.0
SAL_0578,3.0,3.0
SAL_0579,2.0,3.0
SAL_0580,2.0,2.0
SAL_0581,2.0,4.0
SAL_0582,2.0,1.3
SAL_0583,2.0,5.0
SAL_0584,3.0,5.0
SAL_0585,5.0,5.0
SAL_0586,2.0,3.0
SAL_0587,2.0,3.0
SAL_0588,3.0,3.0
SAL_0589,3.0,3.0
SAL_0590,3.0,2.9
SAL_0591,3.0,2.0
SAL_0592,5.0,6.0
SAL_0593,2.0,5.0
SAL_0594,2.2,3.9
SAL_0595,2.0,3.0
SAL_0596,3.0,5.0
SAL_0597,2.2,5.0
SAL_0598,2.0,3.2
SAL_0599,3.0,3.0
SAL_0600,2.0,3.0
SAL_0601,3.9,5.6
SAL_0602,2.0,2.0
SAL_0603,2.0,2.2
SAL_0604,2.0,2.0
SAL_0605,3.0,3.5
SAL_0606,2.0,4.2
SAL_0607,2.7,3.0
SAL_0608,2.5,3.0
SAL_0609,2.0,2.0
SAL_0610,2.0,3.0
SAL_0611,4.0,5.0
SAL_0612,2.0,2.0
SAL_0613,1.0,2.0
SAL_0614,2.0,2.0
SAL_0615,2.0,3.0
SAL_0616,2.0,2.0
SAL_0617,5.0,5.0
SAL_0618,2.0,3.6
SAL_0619,2.0,2.0
SAL_0620,3.0,5.0
SAL_0621,2.0,3.0
SAL_0622,3.0,4.4
SAL_0623,3.0,5.0
SAL_0624,2.0,2.0
SAL_0625,2.5,2.4
SAL_0626,2.0,2.0
SAL_0627,3.0,5.0
SAL_0628,3.0,4.8
SAL_0629,2.8,6.0
SAL_0630,2.0,6.0
SAL_0631,2.6,4.0
SAL_0632,5.0,5.0
SAL_0633,2.6,3.0
SAL_0634,2.0,3.0
SAL_0635,3.0,3.7
SAL_0636,2.0,3.0
SAL_0637,2.0,4.6
SAL_0638,3.0,3.0
SAL_0639,2.0,5.0
SAL_0640,2.0,5.0
SAL_0641,2.0,2.0
SAL_0642,3.0,4.6
SAL_0643,3.0,3.0
SAL_0644,3.4,5.0
SAL_0645,4.0,5.0
SAL_0646,1.9,3.0
SAL_0647,2.2,3.0
SAL_0648,3.0,2.6
SAL_0649,3.0,2.3
SAL_0650,5.0,6.0
SAL_0651,3.0,4.0
SAL_0652,4.7,6.0
SAL_0653,2.5,3.0
SAL_0654,4.0,5.0
SAL_0655,4.0,5.0
SAL_0656,2.0,3.0
SAL_0657,2.0,3.0
SAL_0658,2.3,5.0
SAL_0659,3.0,4.8
SAL_0660,1.0,1.0
SAL_0661,2.0,3.0
SAL_0662,2.0,3.0
SAL_0663,2.0,4.4
SAL_0664,1.0,1.0
SAL_0665,2.0,2.0
SAL_0666,2.0,2.5
SAL_0667,3.0,3.0
SAL_0668,2.1,3.0
SAL_0669,2.8,4.0
SAL_0670,2.0,5.0
SAL_0671,2.0,2.4
SAL_0672,3.0,3.0
SAL_0673,3.0,5.0
SAL_0674,2.3,3.0
SAL_0675,2.0,5.0
SAL_0676,2.0,4.8
SAL_0677,3.3,5.0
SAL_0678,1.5,2.0
SAL_0679,2.8,3.0
SAL_0680,3.0,4.7
SAL_0681,2.0,2.3
SAL_0682,2.0,2.0
SAL_0683,2.0,3.0
SAL_0684,2.0,2.1
SAL_0685,2.0,2.2
SAL_0686,2.0,5.0
SAL_0687,3.0,2.0
SAL_0688,2.4,3.0
SAL_0689,3.0,5.0
SAL_0690,3.2,5.0
SAL_0691,2.0,3.0
SAL_0692,3.0,5.0
SAL_0693,2.0,5.0
SAL_0694,2.0,2.0
SAL_0695,2.0,4.0
SAL_0696,2.0,5.0
SAL_0697,5.0,6.0
SAL_0698,3.0,3.9
SAL_0699,3.0,5.0
SAL_0700,3.6,6.0
SAL_0701,3.0,4.8
SAL_0702,2.0,3.9
SAL_0703,2.6,3.0
SAL_0704,3.5,5.0
SAL_0705,2.0,2.9
SAL_0706,2.0,2.0
SAL_0707,2.0,3.0
SAL_0708,3.0,3.0
SAL_0709,2.1,4.0
SAL_0710,3.0,5.0
SAL_0711,3.0,5.0
SAL_0712,3.0,3.4
SAL_0713,2.0,2.0
SAL_0714,3.0,4.0
SAL_0715,4.0,5.0
SAL_0716,2.0,3.0
SAL_0717,3.0,3.0
SAL_0718,3.0,3.0
SAL_0719,2.0,5.0
SAL_0720,2.0,2.0
SAL_0721,2.0,3.0
SAL_0722,3.0,3.0
SAL_0723,2.0,3.0
SAL_0724,3.0,4.3
SAL_0725,2.0,2.0
SAL_0726,2.0,2.0
SAL_0727,2.0,3.0
SAL_0728,3.0,3.0
SAL_0729,2.0,2.0
SAL_0730,2.0,5.0
SAL_0731,3.0,5.0
SAL_0732,2.6,3.0
SAL_0733,2.5,5.0
SAL_0734,2.0,2.0
SAL_0735,3.0,4.0
SAL_0736,2.0,3.0
SAL_0737,1.0,1.1
SAL_0738,3.0,5.0
SAL_0739,2.0,5.0
SAL_0740,2.0,2.0
SAL_0741,3.0,5.0
SAL_0742,3.0,4.1
SAL_0743,2.9,3.2
SAL_0744,2.0,2.0
SAL_0745,3.0,3.0
SAL_0746,2.0,3.0
SAL_0747,2.0,4.8
SAL_0748,2.0,5.0
SAL_0749,2.0,2.0
